inning,inning_top_bot,score_differential,base_1_occupied_pre,base_2_occupied_pre,base_3_occupied_pre,outs_in_inning_so_far_before_event,win_probability
1,bot,-6,False,False,False,0,0.10794694387787404
1,bot,-6,False,False,False,1,0.09381428910057073
1,bot,-6,False,False,False,2,0.08548870250311837
1,bot,-5,True,True,True,0,0.2951956452595166
1,bot,-5,True,True,True,1,0.24121267020715587
1,bot,-5,True,True,True,2,0.19783814631391577
1,bot,-5,True,True,False,0,0.22179155885015017
1,bot,-5,True,True,False,1,0.183288961382792
1,bot,-5,True,True,False,2,0.1563523223834109
1,bot,-5,True,False,True,0,0.23648906916284007
1,bot,-5,True,False,True,1,0.1942447771527564
1,bot,-5,True,False,True,2,0.16373889868298974
1,bot,-5,True,False,False,0,0.1801742401763107
1,bot,-5,True,False,False,1,0.1542956520862583
1,bot,-5,True,False,False,2,0.13800055366333772
1,bot,-5,False,True,True,0,0.25562893413925125
1,bot,-5,False,True,True,1,0.20901337649869278
1,bot,-5,False,True,True,2,0.1740537052380401
1,bot,-5,False,True,False,0,0.1930545919710152
1,bot,-5,False,True,False,1,0.16292521902886475
1,bot,-5,False,True,False,2,0.14327196653185023
1,bot,-5,False,False,True,0,0.2050893474337993
1,bot,-5,False,False,True,1,0.17127446312626432
1,bot,-5,False,False,True,2,0.14852894421163648
1,bot,-5,False,False,False,0,0.16058710885277422
1,bot,-5,False,False,False,1,0.14182718938769262
1,bot,-5,False,False,False,2,0.13068748532201915
1,bot,-4,True,True,True,0,0.39054463510135135
1,bot,-4,True,True,True,1,0.3284769706545891
1,bot,-4,True,True,True,2,0.27704767450159806
1,bot,-4,True,True,False,0,0.305626600625095
1,bot,-4,True,True,False,1,0.2594717216945978
1,bot,-4,True,True,False,2,0.2264946432861419
1,bot,-4,True,False,True,0,0.32294537379952015
1,bot,-4,True,False,True,1,0.2727221099439595
1,bot,-4,True,False,True,2,0.23559394233195383
1,bot,-4,True,False,False,0,0.2556875256303848
1,bot,-4,True,False,False,1,0.22395356820729997
1,bot,-4,True,False,False,2,0.2037058669232094
1,bot,-4,False,True,True,0,0.34525716146523044
1,bot,-4,False,True,True,1,0.2904359252669353
1,bot,-4,False,True,True,2,0.24822933360812038
1,bot,-4,False,True,False,0,0.27128719133168294
1,bot,-4,False,True,False,1,0.2345936727845243
1,bot,-4,False,True,False,2,0.21027806215436604
1,bot,-4,False,False,True,0,0.28574584312985285
1,bot,-4,False,False,True,1,0.24483300719202092
1,bot,-4,False,False,True,2,0.2168112515373226
1,bot,-4,False,False,False,0,0.23171652999137404
1,bot,-4,False,False,False,1,0.2084788593666918
1,bot,-4,False,False,False,2,0.1945536979465788
1,bot,-3,True,True,True,0,0.49440902062852016
1,bot,-3,True,True,True,1,0.42897108811655693
1,bot,-3,True,True,True,2,0.37294022908311364
1,bot,-3,True,True,False,0,0.40428216724007326
1,bot,-3,True,True,False,1,0.35340801152195833
1,bot,-3,True,True,False,2,0.3162368749522343
1,bot,-3,True,False,True,0,0.423024423085661
1,bot,-3,True,False,True,1,0.3681513630185985
1,bot,-3,True,False,True,2,0.3265609252515601
1,bot,-3,True,False,False,0,0.3491770743965361
1,bot,-3,True,False,False,1,0.3133447180286584
1,bot,-3,True,False,False,2,0.29016079182822296
1,bot,-3,False,True,True,0,0.4468941277571126
1,bot,-3,False,True,True,1,0.3876872687912236
1,bot,-3,False,True,True,2,0.3408120341770159
1,bot,-3,False,True,False,0,0.3665601336847662
1,bot,-3,False,True,False,1,0.3254285141776326
1,bot,-3,False,True,False,2,0.29771279752724034
1,bot,-3,False,False,True,0,0.38253411934347176
1,bot,-3,False,False,True,1,0.33699118909564385
1,bot,-3,False,False,True,2,0.30519463137325703
1,bot,-3,False,False,False,0,0.3221678424395197
1,bot,-3,False,False,False,1,0.2956478891796863
1,bot,-3,False,False,False,2,0.27960230152382803
1,bot,-2,True,True,True,0,0.5993192078663026
1,bot,-2,True,True,True,1,0.5363129586838012
1,bot,-2,True,True,True,2,0.4806087955484546
1,bot,-2,True,True,False,0,0.5119676846938439
1,bot,-2,True,True,False,1,0.4608122936228732
1,bot,-2,True,True,False,2,0.4226147922334059
1,bot,-2,True,False,True,0,0.5304779088809151
1,bot,-2,True,False,True,1,0.4757730133144491
1,bot,-2,True,False,True,2,0.433291275677228
1,bot,-2,True,False,False,0,0.4564987995727462
1,bot,-2,True,False,False,1,0.41961483260047416
1,bot,-2,True,False,False,2,0.3954270283965253
1,bot,-2,False,True,True,0,0.553788955781795
1,bot,-2,False,True,True,1,0.4954267187384459
1,bot,-2,False,True,True,2,0.4479443222232662
1,bot,-2,False,True,False,0,0.4741636140936756
1,bot,-2,False,True,False,1,0.4321226975654837
1,bot,-2,False,True,False,2,0.40333291899530643
1,bot,-2,False,False,True,0,0.49026146609041293
1,bot,-2,False,False,True,1,0.4440254487482632
1,bot,-2,False,False,True,2,0.4111399137389264
1,bot,-2,False,False,False,0,0.428754446400442
1,bot,-2,False,False,False,1,0.40117379041161805
1,bot,-2,False,False,False,2,0.38433152892307715
1,bot,-1,True,True,True,0,0.6972686932225785
1,bot,-1,True,True,True,1,0.6418591168704804
1,bot,-1,True,True,True,2,0.5914509457880264
1,bot,-1,True,True,False,0,0.6199895378127471
1,bot,-1,True,True,False,1,0.5732269160843587
1,bot,-1,True,True,False,2,0.5376301064548303
1,bot,-1,True,False,True,0,0.6366405388732981
1,bot,-1,True,False,True,1,0.5870138928776616
1,bot,-1,True,False,True,2,0.5476353184226042
1,bot,-1,True,False,False,0,0.5692352611244491
1,bot,-1,True,False,False,1,0.5348112520418501
1,bot,-1,True,False,False,2,0.5119674348848348
1,bot,-1,False,True,True,0,0.6574009558561915
1,bot,-1,False,True,True,1,0.6049872653408732
1,bot,-1,False,True,True,2,0.5612974698079315
1,bot,-1,False,True,False,0,0.5855350852775402
1,bot,-1,False,True,False,1,0.546542270240884
1,bot,-1,False,True,False,2,0.5194563458131178
1,bot,-1,False,False,True,0,0.6002790587540303
1,bot,-1,False,False,True,1,0.5576516273661581
1,bot,-1,False,False,True,2,0.5268305042802454
1,bot,-1,False,False,False,0,0.5433888790120404
1,bot,-1,False,False,False,1,0.5174132046978743
1,bot,-1,False,False,False,2,0.501421985666707
1,bot,0,True,True,True,0,0.7816925130194126
1,bot,0,True,True,True,1,0.7369436051628058
1,bot,0,True,True,True,2,0.695268937311494
1,bot,0,True,True,False,0,0.7189720211864206
1,bot,0,True,True,False,1,0.6799903125804625
1,bot,0,True,True,False,2,0.6498476868794254
1,bot,0,True,False,True,0,0.732670716233928
1,bot,0,True,False,True,1,0.6915589877646717
1,bot,0,True,False,True,2,0.6583581604057607
1,bot,0,True,False,False,0,0.676629545472447
1,bot,0,True,False,False,1,0.6474447811114071
1,bot,0,True,False,False,2,0.6278914565055539
1,bot,0,False,True,True,0,0.7496103561159662
1,bot,0,False,True,True,1,0.7065463950122404
1,bot,0,False,True,True,2,0.6699315192948386
1,bot,0,False,True,False,0,0.6903210725471054
1,bot,0,False,True,False,1,0.6574298234858696
1,bot,0,False,True,False,2,0.6343170285107398
1,bot,0,False,False,True,0,0.7026308775024339
1,bot,0,False,False,True,1,0.6668485933171683
1,bot,0,False,False,True,2,0.6406296323119006
1,bot,0,False,False,False,0,0.6547496593942264
1,bot,0,False,False,False,1,0.6325654438841106
1,bot,0,False,False,False,2,0.6188190412575048
1,bot,1,True,True,True,0,0.8490528514849921
1,bot,1,True,True,True,1,0.8155082994486391
1,bot,1,True,True,True,2,0.7837074340471171
1,bot,1,True,True,False,0,0.8018576612803532
1,bot,1,True,True,False,1,0.7719249649333265
1,bot,1,True,True,False,2,0.7485044071402456
1,bot,1,True,False,True,0,0.812271703222871
1,bot,1,True,False,True,1,0.7808522247262208
1,bot,1,True,False,True,2,0.7551393432805688
1,bot,1,True,False,False,0,0.7693249138151205
1,bot,1,True,False,False,1,0.7466280246114883
1,bot,1,True,False,False,2,0.7313121083766186
1,bot,1,False,True,True,0,0.8250693917487466
1,bot,1,False,True,True,1,0.7923630830510503
1,bot,1,False,True,True,2,0.7641343456444143
1,bot,1,False,True,False,0,0.7798986756265889
1,bot,1,False,True,False,1,0.754416419353273
1,bot,1,False,True,False,2,0.7363541970338818
1,bot,1,False,False,True,0,0.7893619248553276
1,bot,1,False,False,True,1,0.7617414603711734
1,bot,1,False,False,True,2,0.7412991615061707
1,bot,1,False,False,False,0,0.7523281507762909
1,bot,1,False,False,False,1,0.7349805949245802
1,bot,1,False,False,False,2,0.7241788270350583
1,bot,2,True,True,True,0,0.8992025111582838
1,bot,2,True,True,True,1,0.8755281164098438
1,bot,2,True,True,True,2,0.8527977218372507
1,bot,2,True,True,False,0,0.8658030665530735
1,bot,2,True,True,False,1,0.8443125710383751
1,bot,2,True,True,False,2,0.8273562157541607
1,bot,2,True,False,True,0,0.8732268295947291
1,bot,2,True,False,True,1,0.85074450519164
1,bot,2,True,False,True,2,0.8321713270601332
1,bot,2,True,False,False,0,0.8424358878051978
1,bot,2,True,False,False,1,0.825992934553743
